,id,title,description,channelId,channelTitle,thumbnail,tags,categoryId,madeForKids,duration,duration seconds
10,hhh4S_LtCyM,দেখুন ডানো পাওয়ার প্যারেন্টস,"সন্তানের বেড়ে ওঠার জার্নিতে থাকে নানা রকম চ্যালেঞ্জ। আপনারা কি কি চ্যালেঞ্জ ফেস করছেন আর তার সমাধান কিভাবে করছেন, তা আমাদের জানান কমেন্ট বক্সে বা মেসেজের মাধ্যমে।

👆 ডানো পাওয়ার প্যারেন্টস দেখতে ক্লিক করুনঃ https://youtu.be/a0on13Wluq8",UC4GOkJumKgSVU71LLIJ7DmQ,Arla Bangladesh,https://i.ytimg.com/vi/hhh4S_LtCyM/default.jpg,"['Dano', 'Dano Power', 'Dano Power Parents', 'Milk', 'Dairy', 'Suggestion', 'Mom', 'Suggestions', 'UpbringingKids', 'Bangladesh', 'Trending', 'Top Contents', 'Milk Glass', 'Necessity of Milk', 'Dairy Products', 'Arla', 'Kids', 'Children', 'Responsibility', 'Education', 'Screen Time', 'Nutrition', 'Kids Nutrition', 'ADHD', 'School Kids', 'Child nutrition', 'Responsible parenting', 'Screen time management', 'Bullying prevention', 'Healthy eating habits', 'Parent-child bonding', 'positive parenting techniques', 'effective parenting skills', 'top parenting tips']",24,False,PT19S,19.0
11,D25XFwlPxhU,যদি ঘর কথা বলতে পারতো তবে গোদরেজ এয়ার-ই চাইতো।,"ইদের মেহমানদের ওয়েলকাম জানাতে আপনার বাথরুম তৈরি তো? আজই নিয়ে আসুন গোদরেজ এয়ার পাওয়ার পকেট। যদি ঘর কথা বলতে পারতো তবে গোদরেজ এয়ার-ই চাইতো। 

#aerpowerpocket #Aer #BathroomFreshner #aerpocket #BathroomFragrance #Eid #ReadyforEid",UCjYESklcdFhBRP5MLS-qckQ,Godrej Aer Bangladesh,https://i.ytimg.com/vi/D25XFwlPxhU/default.jpg,N/A,22,False,PT28S,28.0
12,rEgOwG3aKNc,Singer Primax series | Prime Technology Max Entertainment,"Singer introduces Primax Series, the top of the line flagship Android TV. Loaded with 4K HDR for maximum details, MEMC for maximum clarity, Dolby Vision Atmos for maximum audio-visual quality and Pure Sound for maximum audio quality. 

Its Dual Band Wifi gives you flawless streaming experience. 

Primax series also ensures maximum protection from Dust, Thunder, High Voltage and Humidity. 

With pre-installed official Netflix, Youtube and Chorki apps; experience entertainment like never before. 

Primax series - Prime Technology Max Entertainment!",UCVpa8S1cWhfSPDiR1o2I-qg,Singer Bangladesh Limited,https://i.ytimg.com/vi/rEgOwG3aKNc/default.jpg,N/A,24,False,PT45S,45.0
13,dSEL_7__Clc,Cheekh | G khan ( Latest Video Song ) ft. Hobby Dhaliwal | Fresh Media Records,"Singer - G Khan 
Ft - Hobby Dhaliwal 
Female Lead - Sheetal Rana 
Lyrics - Fateh Shergill
Music & Mastered - Daddy Beats 
Video Director - Honey Virk 
Artist Manager - Sahil khan",UCQjHoPr0kqN83Mmihy7nsWw,Fresh Media Records,https://i.ytimg.com/vi/dSEL_7__Clc/default.jpg,N/A,10,False,PT3M8S,188.0
14,g_UwapIcPPM,MADE FOR THIS - Northern Tool + Equipment,"There are those of us who earn our callouses and choose raw materials over ready-made. It takes a special kind of person to build their world from scratch, and a special set of tools. Northern Tool is a problem-solver's paradise. There's nothing we can't find, fix, or figure out together. We're made for this. 

Start solving your projects today at NorthernTool.com

✔️Subscribe: https://www.youtube.com/user/NorthernToolCo?sub_confirmation=1

Connect with us on other platforms!

Like us on Facebook: https://www.facebook.com/northerntool
Follow us on Instagram: https://instagram.com/northern_tool
Check us out on Twitter: https://twitter.com/NorthernTool
Watch us on TikTok: https://www.tiktok.com/@northerntool
Find us on Pinterest: https://www.pinterest.com/northerntool",UCxZ26XBfGn-TzdH-nbyQPew,Northern Tool,https://i.ytimg.com/vi/g_UwapIcPPM/default.jpg,"['tools', 'equipment', 'diy', 'home repair', 'automotive', 'welding', 'construction', 'painting', 'building', 'woodworking', 'lawn and garden', 'trailers', 'towing', 'wheels', 'pressure washing', 'pressure cleaning', 'material handling', 'air compressors', 'air tools', 'commercial trucking', 'fans', 'generators', 'sporting goods', 'tires', 'farm', 'hand tools', 'lighting', 'safety', 'sprayers', 'winches', 'cleaning', 'security', 'storage', 'tool storage', 'engines', 'hydraulics', 'snow removal', 'water pumps', 'canopies', 'tarps']",26,False,PT31S,31.0
15,DJ29aNbaVUw,Moisture Control Solution for Cold Storage,"Are you facing issues like ice build-up, fogging, frosting, slippery floors at your cold store? Moisture could be the culprit to create havoc at your cold store.",UCpYJ9gjT1SJLXCLA2ScnArQ,Bry-Air (Asia) Pvt. Ltd.,https://i.ytimg.com/vi/DJ29aNbaVUw/default.jpg,N/A,28,False,PT56S,56.0
16,JyU27baiE5c,ঢাকায় রবি'র সেরা 4.5G,"ব্যস্ত শহর ঢাকাতে জীবনের গতি আরো বেড়েছে রবি'র সাথে! 
তাই আজই এক্সপেরিয়েন্স করুন রবি'র সেরা 4.5G নেটওয়ার্ক",UCGam1tnoq3O5uZIvfouGEvw,Robi Axiata Limited,https://i.ytimg.com/vi/JyU27baiE5c/default.jpg,['Commercial'],19,True,PT1M57S,117.0
17,UmXXzO7xs9s,GTA 5: Fast And Furious,GTA 5: Fast And Furious,UC_I7BR5_rZ7l93AHGi3vWjw,Grand Theft Auto V,https://i.ytimg.com/vi/UmXXzO7xs9s/default.jpg,N/A,22,False,PT30S,30.0
18,aAI1aYieI7U,7up: Fresh New Look. Same Great Taste. | 2023 | 15 s,"What's new this summer? 7up!
The same great taste, now in a refreshing, new look. Pick a pack now & get refreshed! 😍💚",UC4fRrxQHhwdi-F6UDdyLhxg,7UP Bangladesh,https://i.ytimg.com/vi/aAI1aYieI7U/default.jpg,N/A,24,False,PT15S,15.0
19,xbi5T4cVZ1g,Gatra Neon: Default 1 Japanese Style,Gatra Neon: Default 1 Japanese Style,UC0XkXtOa2fF43LduLliyYrA,Gatra Neon,https://i.ytimg.com/vi/xbi5T4cVZ1g/default.jpg,N/A,22,False,PT30S,30.0
