Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=23tzKPBxpO8,irrelevant,Software,ad pertains to Grammarly
https://www.youtube.com/watch?v=VgITlZ0yiwM,irrelevant,Cooking and Food,ad pertains to Nescafe coffee
https://www.youtube.com/watch?v=JsOOis4bBFg,inappropriate,Display of Weapons,ad pertains to a KPOP music video; shows military shooting at an alien; display of weapons
https://www.youtube.com/watch?v=OOUlfHHNItU,inappropriate,Physical Violence,ad pertains to a movie trailer; shows vandals exploding a ceiling; physical violence; scariness; 
https://www.youtube.com/watch?v=zCyOQC1uBjE,irrelevant,Parenting & Family,ad pertains to Enfagrow supplements for kids
https://www.youtube.com/watch?v=RZEZTd5NP4M,irrelevant,Home and Lifestyle,ad pertains to a water tank
https://www.youtube.com/watch?v=qaiVLPagwDs,irrelevant,Cooking and Food,ad pertains to Nescafe coffee
https://www.youtube.com/watch?v=morS4Hb9HHo,irrelevant,Cooking and Food,ad pertains to Milo 
https://www.youtube.com/watch?v=639ATgYAP0g,irrelevant,Fashion,ad pertains to a jewellery company
https://www.youtube.com/watch?v=UmXXzO7xs9s,irrelevant,Gaming & Entertainment,ad pertains to GTA V; shows cars racing; nothing inappropriate about the video itself
https://www.youtube.com/watch?v=0Ahim5aJmp8,irrelevant,Music & Performance,ad pertains to a KPOP song
https://www.youtube.com/watch?v=WURChfw46U8,irrelevant,Cooking and Food,ad pertains to Nescafe coffee
https://www.youtube.com/watch?v=YN4m5373xxE,inappropriate,Explicit Sexual Content,ad pertains to a music video; about people getting cancelled; contains inappropriate sexual gestures; offesive language and inappropriate colthing an ddancing; inappropriate physical contact
https://www.youtube.com/watch?v=Ae7mMVcQlXk,irrelevant,Education & Learning,ad pertains to educational assistance for internationl students by Boomerang International
https://www.youtube.com/watch?v=_gZMADvjcD8,irrelevant,Gaming & Entertainment,ad pertains to TheSandboxGame; nothing inappropriate about the ad but the game is rated 18+
https://www.youtube.com/watch?v=v5Bi0CSfSHI,inappropriate,Inappropriate Clothing,ad pertains to a Sri lankan music video; contains inappropriate clothing and dancingl suggestiveness present
https://www.youtube.com/watch?v=jlw4MLCPoWE,irrelevant,Home and Lifestyle,ad pertains to switchboards for homes
https://www.youtube.com/watch?v=hHF-FRKOmmY,irrelevant,Machinery,ad pertains to a CNC machine supplier
https://www.youtube.com/watch?v=wh2WWQlJH9c,inappropriate,Display of Weapons,ad pertains to a movie trailer; displays of weapons
https://www.youtube.com/watch?v=tIMsafydRDM,irrelevant,Art & Design,ad pertains to digital animation
https://www.youtube.com/watch?v=E8AkFNlbE0g,child directed,Family Friendly Gaming,ad pertains to minecraft
https://www.youtube.com/watch?v=255kGoxHBKM,irrelevant,Home and Lifestyle,ad pertains to a living space in a container
https://www.youtube.com/watch?v=TjxskTJd9eM,irrelevant,Software,ad pertains to a software tool for robotics engineers
https://www.youtube.com/watch?v=y2jLZeQGpF4,irrelevant,Tech & Gadgets,ad pertains to a dashcam for vehicles
https://www.youtube.com/watch?v=5MkzBHAqeR0,inappropriate,Display of Weapons,ad pertains to a music video; shows display of weapons; blood on sword
https://www.youtube.com/watch?v=Q1Ra9rvv66E,inappropriate,Display of Weapons,ad pertains to a Sri lankan music video; no subtitles present; video contains display of weapons; physiclal fighting; 
https://www.youtube.com/watch?v=lgh45wEHyP4,irrelevant,Educational Content,ad pertains to big data analysis for healtcare
https://www.youtube.com/watch?v=H5lcd70KnBU,inappropriate,Physical Violence,ad pertains to a video game; scariness; shows a fish trying to eat a character; shows a character killing aliens
https://www.youtube.com/watch?v=ujPC9wQNbtc,irrelevant,Education & Learning,ad pertains to information about shopify pricing
https://www.youtube.com/watch?v=38jiWao2j8c,inappropriate,Adult Suggestive Content,ad pertains to a music video; inherently romantic lyrics
https://www.youtube.com/watch?v=U1lBjrkc64E,irrelevant,Education & Learning,ad pertains to the Hadsim Youth Boarding school; ad is in Hebrew
https://www.youtube.com/watch?v=v81vT7EID3Q,irrelevant,Parenting & Family,ad pertains ot Nangrow's formula for babies
https://www.youtube.com/watch?v=wnpNJTYI2kQ,irrelevant,Music & Performance,ad pertains to a KPOP song
https://www.youtube.com/watch?v=ulC6W_mbMMo,irrelevant,Home and Lifestyle,ad pertains to a refrigerator
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,ad pertains to Adapted Mind's cartoon for teaching kids math
https://www.youtube.com/watch?v=5I628v0Zn3s,irrelevant,Machinery,ad pertains to a steel plate factory
https://www.youtube.com/watch?v=qu56awOO6x8,irrelevant,Business & Entrepreneurship,ad pertains to ServerPronto's datacenters as a service
https://www.youtube.com/watch?v=2zz14Yj5ACw,irrelevant,Gaming & Entertainment,ad pertains to a video game; about building; game is rated 9+
https://www.youtube.com/watch?v=VQyA--o5Efw,irrelevant,Software,ad pertains to Grammarly
https://www.youtube.com/watch?v=l20uUrBt7gU,inappropriate,Scariness,ad pertains to a video game; scariness; shows a character killing demons
https://www.youtube.com/watch?v=yccxgG94IuM,irrelevant,Software,ad pertains to helping cancer patients; shows a child patient; calls for donations on an app called Ketto
https://www.youtube.com/watch?v=SKEzE5cQH6g,inaudible,Different Language,ad pertains to a music video; proper subtitles not present; in a different language so inaudible; seems to be about nature so could be tagged as irrelevant
https://www.youtube.com/watch?v=7iNIPyDauxM,inappropriate,Scariness,ad pertains to a video game; scariness; shooting; horror elements
https://www.youtube.com/watch?v=mFq68GJpuGk,inappropriate,Offensive language,ad pertains to a music video; offensive language; talks of drugs; inappropriate dancing
