,id,title,description,channelId,channelTitle,thumbnail,tags,categoryId,madeForKids,duration,duration seconds
19,OjDFweJK1Js,Le Saumon de Norvège - le secret d'un plat réussi,"Il n’y a pas de secret derrière le délicieux saumon de Norvège, c’est la nature norvégienne qui lui donne sa perfection.",UCPpFO4VVlYcUHPC7LYDZodA,Seafood From Norway France,https://i.ytimg.com/vi/OjDFweJK1Js/default.jpg,N/A,22,False,PT15S,15.0
20,CxKeL4Su3LA,"Les Kardashian, saison 3 - En streaming dès maintenant sur Disney+",,UCfrLPVjIxAJzNFu_TsevXVw,Disney Plus FR,https://i.ytimg.com/vi/CxKeL4Su3LA/default.jpg,"['Disney+', 'Disney Plus', 'Disney Plus France', 'Bande annonce', 'Star', 'Star Original', 'Disney+ Original', 'Disney Plus Original', 'France', 'French']",24,False,PT15S,15.0
21,t1P33Rl3m1c,N/I,N/I,N/I,N/I,['N/I'],N/I,N/I,N/I,N/I,
22,4bh6r5Im3OU,Publicité TV OL Roquefort Société mars 2021 (avec MS) 15',,UC4UZmrpg8HVW0cmwo6iphUA,Fromages Société,https://i.ytimg.com/vi/4bh6r5Im3OU/default.jpg,N/A,1,True,PT16S,16.0
23,p5yYqqFNVic,Vous allez aimer parler banque ! - Le CDI,"Au Crédit Mutuel, nous sommes à vos côtés dans votre vie d'étudiant en vous offrant la possibilité de faire vos premiers pas dans le monde professionnel de la banque, en tant qu’alternant :
https://recrutement.creditmutuel.fr/fr/etudiants/alternance.html?utm_campaign=cm_2023_part_capsules_jeunes&utm_source=youtube",UCmY-cNbuj7s-aYu2GcVimKA,Crédit Mutuel,https://i.ytimg.com/vi/p5yYqqFNVic/default.jpg,N/A,17,False,PT26S,26.0
24,7ANyt4o3DaI,Lay's - 3D,Pour tous ces petits moments qui comptent,UCqpt2vF3j10n7VxIWZ9dFRQ,Lay's France,https://i.ytimg.com/vi/7ANyt4o3DaI/default.jpg,N/A,26,True,PT6S,6.0
25,UNDmnKJpbLY,Vous allez aimer parler banque !  - La négociation,"Bénéficiez d’un accompagnement sur mesure pour votre orientation, votre entrée dans la vie active et l’optimisation de votre parcours professionnel, grâce au service Objectif Emploi Orientation. En savoir plus et voir conditions : https://www.creditmutuel.fr/fr/particuliers/etudes/oeo.html?utm_campaign=cm_2023_part_capsules_jeunes&utm_source=youtube",UCmY-cNbuj7s-aYu2GcVimKA,Crédit Mutuel,https://i.ytimg.com/vi/UNDmnKJpbLY/default.jpg,N/A,17,False,PT29S,29.0
26,0-fFJP7nye4,Ricard. Born à Marseille.,Ricard est né à Marseille en 1932.,UC2NTD7ot6VQCWt9yRH8ICsg,Ricard,https://i.ytimg.com/vi/0-fFJP7nye4/default.jpg,N/A,1,False,PT30S,30.0
27,T_K5-wAWAKU,Space Marine 2 - Skulls Showcase Gameplay,"Pre-order Warhammer 40,000: Space Marine 2 Collector's Edition now: https://store.focus-entmt.com/w/warhammer40000spacemarine2?utm_campaign=SM2_SizzleSkullsThrone2023&utm_medium=description&utm_source=YouTube

Sign up as a Focus member and subscribe to the newsletter to get the latest exclusive info and upcoming special offers for Warhammer 40,000: Space Marine 2 and the whole Focus catalog:  https://store.focus-entmt.com/w/login?utm_campaign=SM2_SizzleSkullsThrone2023&utm_medium=description&utm_source=YouTube

Warhammer 40,000: Space Marine 2 Introduces its Bone-Chilling Tyranid Hordes During the Skulls Showcase

Following Games Workshop’s Skulls Showcase earlier today, Focus Entertainment and Saber Interactive are thrilled to showcase brand new glimpses of gameplay for their upcoming action-packed blockbuster Warhammer 40,000: Space Marine 2, coming soon to PlayStation 5, Xbox Series X|S and PC. Hosted by Warhammer 40,000: Boltgun’s lead actor and Warhammer superfan Rahul Kohli, the event has given players their very first look at the Tyranid onslaught they will be facing at release. Watch today’s video and discover it for yourself!

Play as the greatest warriors of the Imperium

Embody a Space Marine of the Ultramarines Chapter, a superhuman warrior who protects humanity from untold horrors, in brutally efficient third-person action powered by the distinctively fast and fluid gameplay experience from best-in-class studio Saber Interactive, - the team and engine behind World War Z.

Grab the best Warhammer games at a discount

Games Workshop’s Skulls festival is the place for all Warhammer fans to grab their new favorite titles at up to 85% off. Once again, Focus is participating with a wide range of Warhammer Age of Sigmar and Warhammer 40,000 games like Necromunda: Hired Gun, Necromunda: Underhive Wars, Space Hulk: Deathwing Enhanced Edition, Space Hulk: Tactics, the Battlefleet Gothic Armada series and Warhammer Age of Sigmar: Storm Ground! It even features Warhammer 40,000: Boltgun released 2 days ago.

Pre-order the Collector’s Edition today

Warhammer 40,000: Space Marine 2’s Collector Edition includes:
- The game on the platform of your choice, with the Macragge’s Chosen DLC!
- A hand-painted, 21-cm resin statuette of Lieutenant Titus fighting a Tyranid
- The art and making of Warhammer 40,000: Space Marine 2, a 64-page hardcover book
- A Steelbook®

Don’t miss this Focus Entertainment Store exclusivity while stocks last!
Warhammer 40,000: Space Marine 2 will be released on PlayStation 5, Xbox Series X|S and PC. Pre-order its Collector’s Edition today! For more information, check out the game’s page on the Focus Store.",UCaLdl0827np4QVPESo794og,Focus Entertainment,https://i.ytimg.com/vi/T_K5-wAWAKU/default.jpg,N/A,20,False,PT1M8S,68.0
28,3dE4PukQmek,Vous allez aimer parler banque ! - La start-up,"Avec le Livret Impulsion Locale, votre argent participe à financer l’installation, les projets et le développement des professionnels, artisans, commerçants et agriculteurs de votre région. Vous donnez du sens à votre épargne en accompagnant économiquement les territoires : https://www.creditmutuel.fr/fr/particuliers/epargne/livret-impulsion-locale.html?utm_campaign=cm_2023_part_capsules_jeunes&utm_source=youtube",UCmY-cNbuj7s-aYu2GcVimKA,Crédit Mutuel,https://i.ytimg.com/vi/3dE4PukQmek/default.jpg,N/A,17,False,PT22S,22.0
