Video Link,Primary Tag,Secondary Tag,Description
https://www.youtube.com/watch?v=hPU9FY0DATI,irrelevant,Software,Ad for a calling software designed to be specifically for businesses
https://www.youtube.com/watch?v=qXciDz26gZQ,irrelevant,Autos & Vehicles,Ad showing a car company's car being driven across a countryside
https://www.youtube.com/watch?v=-F5YRmzWY-M,irrelevant,Sports & Athletics,Ad showing off different angles of a bike
https://www.youtube.com/watch?v=oC8J7BnW0-0,child directed,Play and Adventure,ad for a trampoline park for kids
https://www.youtube.com/watch?v=ohTGoh6wFOw,irrelevant,Home and Lifestyle,Ad about a home contracting business
https://www.youtube.com/watch?v=l8_JVbBQGi8,irrelevant,Autos & Vehicles,Ad for an offroad camping vehicle
https://www.youtube.com/watch?v=qI-Kwgk0hsQ,irrelevant,Autos & Vehicles,Ad for a company that makes electric vehicle chargers
https://www.youtube.com/watch?v=ggYOG2-m8Jg,irrelevant,Nature & Environment,Ad for two people who were gardening
https://www.youtube.com/watch?v=CptNKHajiMk,irrelevant,Autos & Vehicles,Ad about the electric vehicle Hyundai Ioniq
https://www.youtube.com/watch?v=jNe1gIKrETg,irrelevant,Finance & Legal,Ad showing a money transfer company's system
https://www.youtube.com/watch?v=PK4YNR7jlsE,irrelevant,Machinery,ad for a company that produces cnc milling services
https://www.youtube.com/watch?v=b-_3iyF9RnA,irrelevant,Gaming & Entertainment,Ad showing two adults playing a horse riding game for kids
https://www.youtube.com/watch?v=KmdBo7--oqQ,irrelevant,Machinery,Ad for industrial lockers
https://www.youtube.com/watch?v=OCL0ew1n-6o,irrelevant,Fashion,Ad showing a luxury watch. shows it in different lighting conditions and its features
https://www.youtube.com/watch?v=VxOpAILi20Q,irrelevant,Tech & Gadgets,Ad for something related to filming. Not entirely sure
https://www.youtube.com/watch?v=IXf-qkSRER4,irrelevant,Travel & Adventure,ad for a cruise company's offerings
https://www.youtube.com/watch?v=-koeCj6mPVo,child directed,Toys,ad for lego based toy cars. ad shows variety of toys
https://www.youtube.com/watch?v=qBq83xuwq4U,irrelevant,Health and Wellness,Ad for retainers for teeth
https://www.youtube.com/watch?v=AFLRSFqcqiI,irrelevant,Tech & Gadgets,Ad showing features of an E-Reader
https://www.youtube.com/watch?v=3-cAaUy9q5s,irrelevant,Business & Entrepreneurship,Ad for a company that supplies warehouses
