Video Link,Primary Tag,Secondary Tag,Description,,,,,,,,
https://www.youtube.com/watch?v=pkh1qXYhoRk,irrelevant,Machinery,printer toner ad,,,,,,,,
https://www.youtube.com/watch?v=4MBFlvPmaJY,irrelevant,Nature & Environment,real estate investing ad but features cicada in tropical environemnt,,,,,,,,
https://www.youtube.com/watch?v=5XWIusZXsW0,child directed,Toys,ad for. little red riding hood puzzle maze ,,,,,,,,
https://www.youtube.com/watch?v=c_kqo39UIr8,inappropriate,Display of weapons,"diney plus movie, shows a gun",,,,,,,,
https://www.youtube.com/watch?v=jPX2JY4Za38,irrelevant,Travel & Adventure,private getaway for family occasions or gatherings,,,,,,,,
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,"ad for math game, walk through with animated characters",,,,,,,,
https://www.youtube.com/watch?v=vfXa8FYrrc4,irrelevant,Food and Cooking,pet food ad,,,,,,,,
https://www.youtube.com/watch?v=fY1iPBWGxfE,child directed,Toys,barbie ad,,,,,,,,
https://www.youtube.com/watch?v=Tr9xWcn2jdI,child directed,Toys,"polly pocket ad, shows its features",,,,,,,,
https://www.youtube.com/watch?v=Q0U2zgipGlw,child directed,Toys,ad about plushes. shows kids playing and painting with these plushes,,,,,,,,
https://www.youtube.com/watch?v=pA7tvN7zwyg,irrelevant,Fashion,glasses ad,,,,,,,,
https://www.youtube.com/watch?v=vZ4Bi_9ViP0,irrelevant,Finance & Legal,expense reports app ad,,,,,,,,
https://www.youtube.com/watch?v=aeOTILojd38,irrelevant,Movies,trailer for a movie on disney + showing a single mom's story w a teenage daughter,,,,,,,,
https://www.youtube.com/watch?v=6_-rTRfH2FA,irrelevant,Software,file format manipulation apis,,,,,,,,
https://www.youtube.com/watch?v=8Hk-eDwlIvw,irrelevant,Machinery,"ad for printing toner, with a man talking in french about the product",,,,,,,,
https://www.youtube.com/watch?v=aIdykBglBpo,irrelevant,Education & Learning,ad for a design school showcasing the difference skills or design methods learnt,,,,,,,,
https://www.youtube.com/watch?v=_5RG1BhYtz4,irrelevant,Travel & Adventure,phillippines facts to know video,,,,,,,,
https://www.youtube.com/watch?v=Oo43l0fMcAg,irrelevant,Parenting & Family,"ad for baby stroller, shows dad taking child around town",,,,,,,,
https://www.youtube.com/watch?v=5O_Ato83aUg,irrelevant,Finance & Legal,finance and management app,,,,,,,,
https://www.youtube.com/watch?v=AvXntekzuWM,irrelevant,Software,google ads ad,,,,,,,,
