Video Link,Primary Tag,Secondary Tag,Description,
https://www.youtube.com/watch?v=SDdpT3kg9qs,irrelevant,Music & Performance,scam message song ,
https://www.youtube.com/watch?v=wifNQgQFywo,irrelevant,Personal Development,10 riddle questions,
https://www.youtube.com/watch?v=CrKid-xco4E,irrelevant,Software,"Domain purchasing software. While not inappropriate, not relevant to children as it explains protection from hackers via encrypted domains",
https://www.youtube.com/watch?v=fnMwCP9Wljo,inappropriate,Adult Suggestive Content,"shows a boy and girl interacting romantically in a music video, also shwos presence of gun ",
https://www.youtube.com/watch?v=pjv66UC09AQ,irrelevant,Music & Performance,person reacting to a kpop music video ,
https://www.youtube.com/watch?v=vqDo11b5dEA,irrelevant,Gaming & Entertainment,chess game lvestream,
https://www.youtube.com/watch?v=dkomGdeG6Dk,inappropriate,Explicit Explicit Sexual Content,"animated music video, has 2 people kissing,",
https://www.youtube.com/watch?v=QVS6fdze_z8,irrelevant,Software,grammarly business ad,
https://www.youtube.com/watch?v=EO5XT4UvpYw,irrelevant,Education & Learning,"ad for an educational platform, all of it is in russian, shows features in text based animations",
https://www.youtube.com/watch?v=nT8qQmQlTGQ,irrelevant,Music & Performance,rap song abt rappers journey,
https://www.youtube.com/watch?v=rqgs32MInm0,irrelevant,Personal Development,10 riddle questions,
https://www.youtube.com/watch?v=wdSVuTHNGfc,inaudible,,punjabi song w person singing,
https://www.youtube.com/watch?v=eJzsVAlqj-A,irrelevant,Education & Learning,ad where an animated character gives top tips for a cover letter for employment ,
https://www.youtube.com/watch?v=72XuyxqeE_8,irrelevant,Music & Performance,"sikh music video, amn singing and exploring city",
https://www.youtube.com/watch?v=gWbhoYOWiCg,irrelevant,Software,goodhertz plugins discount,
https://www.youtube.com/watch?v=hfzpV-EPtww,inappropriate,Explicit Explicit Sexual Content,"shows borderline harassment, music video w guys pursuuing a girl romantically in indian lang",
https://www.youtube.com/watch?v=ZGZCJw2JXKM,irrelevant,Fashion,stylo shoes ad showing sale and alady shopping,
https://www.youtube.com/watch?v=ClGLi--xPZ8,irrelevant,Comedy & Entertainment,ad for award show,
https://www.youtube.com/watch?v=l924xlPeY4s,inappropriate,Display of weapons,"Music video, display of a gun in the start. Music indicated themes of physical Adult Suggestive Content",
https://www.youtube.com/watch?v=dMbrrm88x0Y,irrelevant,Software,ad about an ai based facial recognition tracker. ,
https://www.youtube.com/watch?v=SjzX6VPzTtw,irrelevant,Documentary & History,"celeb spotloght documentary, in vietnamese",
https://www.youtube.com/watch?v=I4FM2nhMo6E,inappropriate,Adult Suggestive Content,romantic undertones in lyrics,
https://www.youtube.com/watch?v=9o32X-90aXg,inaudible,Different Language,"music video in diff language, looks slightly intimat e",
https://www.youtube.com/watch?v=WP7SVKcWJEY,irrelevant,Music & Performance,billboard award acceptance,
https://www.youtube.com/watch?v=_R_Z9uKGrqw,irrelevant,Machinery,ad outlining the features of a transmitter,
https://www.youtube.com/watch?v=vEx_ygFUZqE,irrelevant,Software,grammarly ad for business,
https://www.youtube.com/watch?v=xht9srvO8gU,inaudible,Different Language,resort tour where they are singing,
https://www.youtube.com/watch?v=lncgzELl14Y,irrelevant,Tech & Gadgets,ad for home gadgets in korean,
https://www.youtube.com/watch?v=PoJvTWd1lYE,irrelevant,Fashion,mens waistcoat collection modelling,
https://www.youtube.com/watch?v=VzWlUcoxvmY,inappropriate,Explicit Explicit Sexual Content,sexual dance in music video,
https://www.youtube.com/watch?v=c7kUBqwvuQg,irrelevant,Software,Prospecting tool for job evaluations,
https://www.youtube.com/watch?v=HkxHxN8gREs,irrelevant,Machinery,pressure transmitter,
https://www.youtube.com/watch?v=_7-3okF7t9U,excluded,,religious content,
https://www.youtube.com/watch?v=-5Nn9YiCFyA,irrelevant,Music & Performance,"cover of an indian girl for anti-hero, in front of a chirstian cross, and on beach",
https://www.youtube.com/watch?v=9jKIxTegjZ4,irrelevant,Music & Performance,audio of a cover of old hindi song,
https://www.youtube.com/watch?v=-CaoOjlpEaM,irrelevant,Software,"3d character aninamtion, software, animated",
