,id,title,description,channelId,channelTitle,thumbnail,tags,categoryId,madeForKids,duration,duration seconds
10,bmEmgo8ssL8,72_01_WKDA_Toolbox_Basic_web_SE_20s_01,,UCMlH93sS6aDAyHXrgH0scuw,Viköperdinbil.se,https://i.ytimg.com/vi/bmEmgo8ssL8/default.jpg,"['sälja bil', 'bytbil', 'viköperdinbil', 'sälja trasig bil', 'vad är bilen värd', 'bilvärdering online', 'skrota bilen', 'sälj din bil', 'köper begagnade bilar', 'sälj bil med kredit', 'sälja skrotbil', 'bilpriser', 'bilar köpes', 'sälja bil till bilhandlare', 'sälja bilen snabbt', 'köp min bil']",2,False,PT20S,20.0
11,IO-kDXScZCQ,Kostnadsfri film | Skala upp intäkterna som entreprenör,"Verktygen du behöver för att öka intäkterna - utan att offra hälsan, familjen eller din frihet.
https://insights.nextstate.se/skala-upp-intakterna",UC9Ax2PuBmkzVS6HuaKxih-Q,Next State,https://i.ytimg.com/vi/IO-kDXScZCQ/default.jpg,N/A,22,False,PT1M50S,110.0
12,EJagv5vBZ2w,Beställ och betala i appen – få maten serverad vid bordet,Med mycket packning kan det vara skönt med lite hjälp! Beställ och betala i appen och få maten serverad vid bordet.,UC55VidkwuZEDeilqB48PrpQ,McDonald's Sverige,https://i.ytimg.com/vi/EJagv5vBZ2w/default.jpg,N/A,23,False,PT15S,15.0
13,Oq1cYjTmelk,06 MOMONDO SE YT DEALS 23w10,,UCqyI8UwvJ1_j1Aql6-YT9kw,momondo,https://i.ytimg.com/vi/Oq1cYjTmelk/default.jpg,"['travel', 'love', 'inspiration', 'fun', 'live', 'meta', 'search', 'flight', 'hotel', 'rental', 'car', 'package', 'deal']",19,False,PT6S,6.0
14,s-hK8stBxo4,"[Hankook Tire] Hankook Tire X Formula E, Electrify Your Driving Emotion (30s)","Go beyond the track

EV Exclusive Tire & Technology

iON

✅ Learn More : https://www.hankooktire.com/global/en/tires/ion.html

#HankookTire #Diving_Emotion #Hankook #FormulaE #iON #EV #HK #FE #GlobalPartner #Electrify_your_Diving_Emotion #EV_Exclusive_Tire_Technology",UCydnzlUFgv1qoVL4puLczJw,Hankook Tire Global,https://i.ytimg.com/vi/s-hK8stBxo4/default.jpg,N/A,2,False,PT31S,31.0
15,K00EqVb4W-I,Command™ Skadefri tavelupphängning Svensk Video,"Command™ Tavelupphängningsstrips hjälper dig att hänga bilder på ett enkelt sätt! Designad för att fästa säkert, men enkel att ta bort utan att skada ytan. Ge liv åt dina ramar med Command™ Tavelupphängningsstrips – skadefria!",UCE4jKGW--ODtqubM5JKW9sg,3M Nordic,https://i.ytimg.com/vi/K00EqVb4W-I/default.jpg,"['command_picture_hanging0', 'command_picture_hangingstrips0', 'musical_walls', 'sweden_tv']",26,False,PT16S,16.0
16,AxgN3Nn0Hg0,15 MM SE SUMMER TVC FLEX SEARCH FINAL,,UCqyI8UwvJ1_j1Aql6-YT9kw,momondo,https://i.ytimg.com/vi/AxgN3Nn0Hg0/default.jpg,"['travel', 'love', 'inspiration', 'fun', 'live', 'meta', 'search', 'flight', 'hotel', 'rental', 'car', 'package', 'deal']",19,False,PT15S,15.0
17,2vB0QVTvz54,15s HIKING KM SS23 16 9,,UC15rJYooXGx94Mj7T3I7JVg,Klättermusen,https://i.ytimg.com/vi/2vB0QVTvz54/default.jpg,N/A,17,False,PT16S,16.0
18,IYy690eJYXg,McSelection El Maco,McSelection El Maco med Premium beef. Vår saftigaste och lyxigaste burgare av 100% svenskt nötkött. För ett ännu godare McDonald’s.,UC55VidkwuZEDeilqB48PrpQ,McDonald's Sverige,https://i.ytimg.com/vi/IYy690eJYXg/default.jpg,"['McDonalds', 'mcdonalds', 'McDonald´s', 'mcdonald´s', 'Donken', 'donken', 'McSelection', 'mcselection', 'El Maco', 'el maco']",23,False,PT6S,6.0
19,QbhIUDODqVU,68_2_WKDA_FaceOff-Safe_SE_web_VAS_3,,UCMlH93sS6aDAyHXrgH0scuw,Viköperdinbil.se,https://i.ytimg.com/vi/QbhIUDODqVU/default.jpg,"['sälja bil', 'bytbil', 'viköperdinbil', 'sälja trasig bil', 'vad är bilen värd', 'bilvärdering online', 'skrota bilen', 'sälj din bil', 'köper begagnade bilar', 'sälj bil med kredit', 'sälja skrotbil', 'bilpriser', 'bilar köpes', 'sälja bil till bilhandlare', 'sälja bilen snabbt', 'köp min bil']",2,False,PT20S,20.0
